loan_id,account_id,loan_date,amount,duration,payments,status,account_id,district_id,frequency,dt,disp_id,type,client_id,gender,birth_date,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,account_id,sum_of_credits_before_loan,sum_of_withdrawals_before_loan,MIN_balance_before_loan,MAX_balance_before_loan,num_times_balance_below_100,avg_balance_30days_before_loan,avg_amount_before_loan
4959,2,1994-01-05,80952,24,3373.00,A,2,1,POPLATEK MESICNE,1993-02-26,2,OWNER,2,Male,1945-02-04,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.00,12541,0.29,0.43,167,85677,99107,2,228687,228687,1100,67530,0,30446.7500,7954.3333
4961,19,1996-04-29,30276,12,2523.00,B,19,21,POPLATEK MESICNE,1995-04-07,25,OWNER,25,Female,1939-04-23,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.00,9104,1.51,2.07,123,2299,2354,19,242180,242180,715,58158,0,14062.5000,5856.3500
4962,25,1997-12-08,30276,12,2523.00,A,25,68,POPLATEK MESICNE,1996-07-28,31,OWNER,31,Male,1962-02-09,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.20,9893,4.09,4.72,96,5623,5887,25,1009156,1009156,900,119653,0,64026.5556,12113.9817
4967,37,1998-10-14,318480,60,5308.00,D,37,20,POPLATEK MESICNE,1997-08-18,45,OWNER,45,Male,1952-08-26,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.40,8547,2.65,3.64,120,1563,1542,37,447360,447360,-1011,104762,1,33760.7000,7572.0345
4968,38,1998-04-19,110736,48,2307.00,C,38,19,POPLATEK TYDNE,1997-08-08,46,OWNER,46,Female,1940-01-30,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.70,8402,3.13,3.98,120,999,1099,38,148404,148404,13841,55991,0,31890.7500,4716.2000
4973,67,1996-05-02,165960,24,6915.00,A,67,16,POPLATEK MESICNE,1994-10-19,78,OWNER,78,Female,1944-06-13,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.90,8427,1.12,1.54,107,1874,1913,67,813242,813242,700,107070,0,33995.7778,12822.4000
4986,97,1997-08-10,102876,12,8573.00,A,97,74,POPLATEK MESICNE,1996-05-05,116,OWNER,116,Male,1942-01-28,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.00,10673,4.75,5.44,100,18782,18347,97,306057,306057,900,60335,0,40354.5000,4844.0763
4988,103,1997-12-06,265320,36,7370.00,D,103,44,POPLATEK MESICNE,1996-03-10,124,OWNER,124,Male,1967-09-21,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.00,8254,2.79,3.76,97,2166,2325,103,368308,368308,379,116038,0,19976.5000,8634.2169
4989,105,1998-12-05,352704,48,7348.00,C,105,21,POPLATEK MESICNE,1997-07-10,127,OWNER,127,Female,1950-12-27,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.00,9104,1.51,2.07,123,2299,2354,105,255396,255396,800,74694,0,28403.7500,8582.5000
4990,110,1997-09-08,162576,36,4516.00,C,110,36,POPLATEK MESICNE,1996-07-17,132,OWNER,132,Male,1953-01-26,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.20,9198,3.33,4.28,131,5796,6132,110,331885,331885,900,79652,0,52166.3333,7240.8810
4996,132,1996-11-06,88440,12,7370.00,A,132,40,POPLATEK PO OBRATU,1996-05-11,158,OWNER,158,Female,1945-07-03,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.30,9317,6.49,7.07,97,6949,6872,132,269642,269642,200,103239,0,72256.3333,14850.8065
